filepath,anger,disgust,fear,happiness,sadness,surprise,neutral
S6_sad_1.mp4,0.987341772152,0,0,0,0.0126582278481,0,0
S3_happy_disgust.mp4,0.333333333333,0,0,0.552631578947,0,0.0438596491228,0.0701754385965
S4_happy_1.mp4,0,0,0,0.973913043478,0,0,0.0260869565217
S5_surprise_4.mp4,0.942857142857,0,0,0,0.047619047619,0,0.00952380952381
S4_sad.mp4,0,0,0,0,0.0206896551724,0,0.979310344828
S5_happy_3.mp4,0.310810810811,0,0,0.675675675676,0.0135135135135,0,0
S7_happy.mp4,0,0,0,1.0,0,0,0
S2_surprise_6.mp4,0,0,0,0,0.0194174757282,0,0.980582524272
S4_surprise.mp4,0,0,0,0.211764705882,0.188235294118,0,0.6
S5_surprise_3.mp4,0.952380952381,0,0,0,0.031746031746,0,0.015873015873
S6_disgust.mp4,0.952380952381,0,0,0,0.047619047619,0,0
S7_surprise_4.mp4,0,0,0,0,0,0,1.0
S2_fear_1.mp4,0,0,0,0.275,0.45,0,0.275
S6_happy_3.mp4,1.0,0,0,0,0,0,0
S6_surprise_1.mp4,0.968253968254,0,0,0,0.031746031746,0,0
S2_surprise_7.mp4,0.0243902439024,0,0,0,0,0,0.975609756098
S2_happy.mp4,0.0102040816327,0,0.0204081632653,0.163265306122,0.030612244898,0,0.775510204082
S5_surprise_2.mp4,0.968253968254,0,0,0,0.031746031746,0,0
S7_happy_surprise_1.mp4,0,0,0.0284090909091,0.727272727273,0.0397727272727,0.164772727273,0.0397727272727
S5_disgust.mp4,0.55421686747,0,0,0.289156626506,0,0,0.156626506024
S5_happy_1.mp4,0.992,0,0,0,0.008,0,0
S2_surprise_4.mp4,0,0,0,0,0,0.348837209302,0.651162790698
S5_sad.mp4,1.0,0,0,0,0,0,0
S7_happy_2.mp4,0,0,0,0.418604651163,0,0,0.581395348837
S2_sad.mp4,0,0,0,0,0.00438596491228,0,0.995614035088
S2_fear_4.mp4,0,0,0,0,0,0,1.0
S5_surprise_6.mp4,0.698412698413,0,0,0,0.0793650793651,0,0.222222222222
S1_fear_surprise_4.mp4,0,0,0,0,0,0,1.0
S2_surprise_2.mp4,0,0,0,0,0.785714285714,0,0.214285714286
S5_surprise.mp4,0.942857142857,0,0,0,0,0,0.0571428571429
S7_surprise_3.mp4,0.0103092783505,0,0.0309278350515,0.432989690722,0,0,0.525773195876
S6_surprise.mp4,0.953488372093,0,0,0,0.046511627907,0,0
S1_disgust_2.mp4,0.114864864865,0,0.0608108108108,0,0.0202702702703,0,0.804054054054
S4_fear_4.mp4,0,0,0,0,0,0,1.0
S4_happy_4.mp4,0.619047619048,0,0,0.369047619048,0,0,0.0119047619048
S4_happy_8.mp4,0,0,0,0.961165048544,0,0,0.0388349514563
S5_surprise_5.mp4,0.525,0,0,0,0.025,0,0.45
S3_surprise_5.mp4,0.29696969697,0,0,0,0.254545454545,0.0909090909091,0.357575757576
S6_happy_4.mp4,1.0,0,0,0,0,0,0
S1_happy_5.mp4,0,0,0,0.58,0,0,0.42
S3_surprise.mp4,0.284552845528,0,0,0.357723577236,0.00813008130081,0,0.349593495935
S3_happy_3.mp4,0.260638297872,0,0,0.5,0.11170212766,0,0.127659574468
S7_surprise_1.mp4,0,0,0,0,0,0,1.0
S1_fear_surprise_3.mp4,0,0,0,0,0,0.14552238806,0.85447761194
S1_fear_surprise_1.mp4,0,0,0,0,0,0,1.0
S3_sad_1.mp4,0.0275862068966,0,0,0,0.8,0,0.172413793103
S4_fear_5.mp4,0,0,0,0,0.0106382978723,0,0.989361702128
S4_happy_5.mp4,0,0,0,0.984,0.008,0,0.008
S5_happy.mp4,0.365517241379,0,0,0.627586206897,0,0,0.00689655172414
S6_happy.mp4,1.0,0,0,0,0,0,0
S2_surprise_5.mp4,0.441988950276,0,0,0,0.17679558011,0.0276243093923,0.353591160221
S6_sad.mp4,1.0,0,0,0,0,0,0
S4_fear_6.mp4,1.0,0,0,0,0,0,0
S5_happy_2.mp4,1.0,0,0,0,0,0,0
S3_surprise_3.mp4,0,0,0,0,0.257142857143,0.171428571429,0.571428571429
S5_surprise_1.mp4,0.661538461538,0,0,0,0.0307692307692,0,0.307692307692
S7_sad_1.mp4,0.335164835165,0,0.406593406593,0,0.0494505494505,0,0.208791208791
S3_surprise_1.mp4,0,0,0,0,0.0117647058824,0.0117647058824,0.976470588235
S1_happy_2.mp4,0,0,0,0.615384615385,0,0,0.384615384615
S7_happy_3.mp4,0,0,0,0.150537634409,0,0,0.849462365591
S2_fear_2.mp4,0,0,0,0.027972027972,0.685314685315,0,0.286713286713
S7_fear.mp4,0,0,0,0,0,0,1.0
S2_fear_surprise.mp4,0.0121212121212,0,0,0,0.0969696969697,0,0.890909090909
S2_happy_1.mp4,0.08,0,0,0.2,0.008,0,0.712
S3_happy.mp4,0,0,0,0.206349206349,0,0,0.793650793651
S1_fear_surprise_2.mp4,0,0,0,0,0.00833333333333,0.241666666667,0.75
S2_fear_3.mp4,0,0,0,0,0.0267857142857,0,0.973214285714
S5_fear.mp4,0.984126984127,0,0,0,0,0,0.015873015873
S3_happy_1.mp4,0,0,0,0,0,0,1.0
S4_happy_2.mp4,0.0714285714286,0,0,0.928571428571,0,0,0
S4_happy.mp4,0,0,0,1.0,0,0,0
S4_happy_9.mp4,0.0666666666667,0,0,0.809523809524,0.00952380952381,0,0.114285714286
S4_happy_6.mp4,0,0,0,0.992,0,0,0.008
S2_surprise_3.mp4,0,0,0,0,0,0.00961538461538,0.990384615385
S3_happy_4.mp4,0,0,0,0.768,0.008,0,0.224
S7_happy_4.mp4,0,0,0,0.369565217391,0,0,0.630434782609
S6_happy_5.mp4,0.928571428571,0,0,0,0.0714285714286,0,0
S7_Happy_surprise.mp4,0.0328947368421,0,0,0.611842105263,0.0592105263158,0,0.296052631579
S1_happy_1.mp4,0,0,0,0.6,0,0,0.4
S4_sad_1.mp4,0,0,0,0,0.0169971671388,0,0.983002832861
S1_disgust_1.mp4,0.0969387755102,0,0,0.0459183673469,0.0408163265306,0,0.816326530612
S5_surprise_happy_1.mp4,0.485576923077,0,0,0.350961538462,0.0961538461538,0,0.0673076923077
S3_surprise_2.mp4,0.320175438596,0,0.0175438596491,0.00438596491228,0.0921052631579,0,0.565789473684
S3_sad_2.mp4,0.428571428571,0,0,0,0.447619047619,0,0.12380952381
S4_happy_3.mp4,0.276,0,0,0.724,0,0,0
S7_sad.mp4,0.18,0,0.025,0,0.005,0,0.79
S3_surprise_4.mp4,0.104347826087,0,0,0,0.0130434782609,0.0565217391304,0.826086956522
S1_surprise_4.mp4,0,0,0,0,0,0.364705882353,0.635294117647
S4_happy_7.mp4,0,0,0,0.565517241379,0.00689655172414,0,0.427586206897
S1_happy_3.mp4,0,0,0,0.232876712329,0,0,0.767123287671
S1_fear_surprise_5.mp4,0.00454545454545,0,0,0,0.00454545454545,0.186363636364,0.804545454545
S1_sad_1.avi,0,0,0,0,0,0,1.0
S7_happy_1.mp4,0,0,0,0.436507936508,0,0,0.563492063492
S4_happy_10.mp4,0,0,0,0.647058823529,0,0,0.352941176471
S3_fear.mp4,0,0,0,0,0.04,0,0.96
S3_happy_2.mp4,0.024,0,0,0.624,0.016,0,0.336
S3_sad.mp4,0,0,0,0,0.536585365854,0,0.463414634146
S1_surprise_1.mp4,0,0,0,0,0,0,1.0
S1_surprise_2.mp4,0,0,0,0,0,0,1.0
S1_surprise_3.mp4,0,0,0,0,0.0102040816327,0.663265306122,0.326530612245
S1_happy_4.mp4,0,0,0,0.552941176471,0,0,0.447058823529
S5_surprise_7.mp4,0.952941176471,0,0,0,0,0,0.0470588235294
S7_happy_surprise_2.mp4,0,0,0,0.718309859155,0,0.154929577465,0.12676056338
